precinct_code,DEM J. Shahan Andrew,Total Votes Cast,Overvotes,Undervotes,Contest Total,Harshbarger REP Kent E.
WASTWP-CC,564,643,0,385,1028,643
WCR-A,376,477,0,226,703,477
WCR-B,385,497,0,239,736,497
WCR-C,376,551,0,203,754,551
WCR-D,385,519,0,217,736,519
WCR-E,332,297,0,183,480,297
WCR-F,338,365,0,206,571,365
WCR-G,442,486,0,269,755,486
WCR-H,364,508,0,209,717,508
WCR-I,372,295,0,224,519,295
