precinct_code,DEM Cooper Lynn,REP Foley Mike,Total Votes Cast,Overvotes,Undervotes,Contest Total,REP Streck Rob
KT 4-G,427,505,646,0,350,996,646
KT 4-H,283,348,469,0,210,679,469
KT 4-I,435,338,496,0,352,848,496
KT 4-J,409,293,454,0,312,766,454
KT 4-K,350,383,478,0,313,791,478
MBG 1-A,287,534,603,0,297,900,603
MBG 1-B,223,576,642,0,217,859,642
MBG 1-C,277,453,538,0,238,776,538
MBG 2-A,210,358,422,0,188,610,422
MBG 2-B,243,506,599,0,208,807,599
MBG 2-C,247,560,645,0,216,861,645
MBG 3-A,203,352,443,0,153,596,443
MBG 3-B,274,457,523,0,272,795,523
MBG 3-C,252,395,477,0,218,695,477
MBG 3-D,246,553,632,0,211,843,632
MBG 4-A,236,468,547,0,193,740,547
MBG 4-B,183,435,494,0,168,662,494
MBG 4-C,186,372,434,0,163,597,434
MBG 4-D,362,668,811,0,289,1100,811
MIATWP-A,301,446,545,0,271,816,545
MIATWP-B,289,368,431,0,287,718,431
MIATWP-C,163,626,657,0,184,841,657
MIATWP-D,307,356,449,0,260,709,449
MIATWP-E,343,560,669,0,302,971,669
MIATWP-F,336,367,498,0,257,755,498
MIATWP-G,228,392,482,0,198,680,482
MIATWP-H,269,379,473,0,230,703,473
MIATWP-I,192,200,257,0,172,429,257
MIATWP-J,146,518,545,0,152,697,545
MIATWP-K,330,542,640,0,299,939,640
MIATWP-L,232,346,393,0,223,616,393
MIATWP-M,291,374,480,0,221,701,480
MIATWP-N,307,447,535,0,266,801,535
MIATWP-O,276,424,506,0,244,750,506
MIATWP-P,272,231,327,0,197,524,327
MIATWP-Q,360,379,495,0,301,796,495
MIATWP-R,186,211,279,0,149,428,279
MIATWP-S,218,480,535,0,216,751,535
MIATWP-T,210,361,420,0,205,625,420
MIATWP-U,271,300,391,0,212,603,391
MIATWP-V,228,445,508,0,229,737,508
MOR 1-A,139,300,332,0,132,464,332
MOR 2-A,270,509,591,0,243,834,591
MOR 3-A,155,330,373,0,154,527,373
MOR 4-A,196,236,288,0,179,467,288
MOR 4-B,215,145,198,0,186,384,198
OAK-A,487,302,441,0,392,833,441
OAK-B,448,332,487,0,340,827,487
OAK-C,413,221,332,0,349,681,332
OAK-D,413,226,368,0,316,684,368
OAK-E,461,210,340,0,362,702,340
OAK-F,562,268,428,0,441,869,428
OAK-G,426,284,410,0,344,754,410
OAK-H,315,253,351,0,259,610,351
PERTWP-A,79,474,499,0,99,598,499
PERTWP-B,133,479,543,0,110,653,543
PERTWP-C,125,588,613,0,155,768,613
PHBG,65,161,196,0,41,237,196
PM,240,252,358,0,169,527,358
PNLB,127,376,426,0,105,531,426
RV-A,236,409,477,0,193,670,477
RV-B,171,351,398,0,162,560,398
RV-C,284,375,481,0,227,708,481
RV-D,198,465,530,0,198,728,530
RV-E,157,424,467,0,153,620,467
RV-F,252,323,385,0,216,601,385
RV-G,178,310,383,0,156,539,383
RV-H,121,212,263,0,99,362,263
RV-I,156,334,371,0,155,526,371
RV-J,159,322,387,0,125,512,387
RV-K,293,361,448,0,243,691,448
RV-L,122,267,318,0,103,421,318
RV-M,257,420,508,0,208,716,508
RV-N,175,312,367,0,155,522,367
RV-O,252,417,501,0,216,717,501
RV-P,278,421,543,0,214,757,543
TR 1-A,479,223,353,0,381,734,353
TR 1-B,253,128,190,0,216,406,190
TR 1-C,428,65,164,0,371,535,164
TR 1-D,340,74,164,0,276,440,164
TR 1-E,594,97,237,0,494,731,237
TR 2-A,485,94,245,0,367,612,245
TR 2-B,563,113,237,0,472,709,237
TR 2-C,421,67,171,0,348,519,171
TR 2-D,266,134,201,0,230,431,201
TR 2-E,421,61,176,0,330,506,176
TR 3-A,280,164,241,0,231,472,241
TR 3-B,240,333,402,0,208,610,402
TR 3-C,248,193,256,0,214,470,256
TR 3-D,493,139,275,0,408,683,275
TR 4-A,537,95,200,0,470,670,200
TR 4-B,429,99,210,0,353,563,210
TR 4-C,329,102,193,0,256,449,193
TR 4-D,365,77,186,0,284,470,186
UN-A,132,315,368,0,111,479,368
UN-B,242,428,529,0,188,717,529
UN-C,240,518,602,0,196,798,602
UN-D,288,511,635,0,209,844,635
UN-E,218,547,623,0,204,827,623
VD-A,221,454,525,0,191,716,525
VD-B,129,294,355,0,90,445,355
VD-C,233,556,655,0,183,838,655
VD-D,278,427,528,0,213,741,528
VD-E,157,363,415,0,135,550,415
VD-F,290,519,607,0,243,850,607
VD-G,210,418,467,0,196,663,467
VD-H,245,611,690,0,215,905,690
VD-I,225,491,575,0,179,754,575
VD-J,283,622,709,0,243,952,709
VD-K,279,542,652,0,226,878,652
WASTWP-A,271,443,529,0,249,778,529
WASTWP-B,408,594,741,0,345,1086,741
WASTWP-C,354,487,585,0,310,895,585
WASTWP-D,256,359,432,0,225,657,432
WASTWP-E,368,502,612,0,308,920,612
WASTWP-F,237,316,383,0,218,601,383
WASTWP-G,399,525,647,0,353,1000,647
WASTWP-H,299,440,534,0,275,809,534
WASTWP-I,317,308,419,0,254,673,419
WASTWP-J,365,437,541,0,327,868,541
WASTWP-K,293,483,537,0,282,819,537
WASTWP-L,322,325,429,0,299,728,429
WASTWP-M,336,529,641,0,296,937,641
WASTWP-N,406,391,507,0,337,844,507
WASTWP-O,362,452,570,0,311,881,570
WASTWP-P,360,551,687,0,303,990,687
WASTWP-Q,406,481,622,0,348,970,622
WASTWP-R,262,391,511,0,200,711,511
WASTWP-S,277,396,484,0,258,742,484
WASTWP-T,353,336,439,0,301,740,439
WASTWP-U,331,486,610,0,269,879,610
WASTWP-V,316,467,543,0,297,840,543
WASTWP-W,277,284,375,0,220,595,375
WASTWP-X,270,390,490,0,219,709,490
WASTWP-Y,452,567,717,0,391,1108,717
WASTWP-Z,304,406,494,0,266,760,494
WASTWP-AA,320,438,533,0,295,828,533
WASTWP-BB,260,313,397,0,227,624,397
WASTWP-CC,407,548,640,0,388,1028,640
WCR-A,237,403,484,0,219,703,484
WCR-B,242,434,503,0,233,736,503
WCR-C,229,476,558,0,196,754,558
WCR-D,224,454,513,0,223,736,513
WCR-E,255,201,287,0,193,480,287
WCR-F,239,292,362,0,209,571,362
WCR-G,328,372,476,0,279,755,476
WCR-H,213,452,518,0,199,717,518
WCR-I,294,189,291,0,228,519,291
