precinct_code,Voters Registered - Total,Ballots Cast Total -,Ballots Blank Cast -,Voter Turnout Total -
ENG-D,1218,885,4,0.7265999999999999
ENG-E,1097,852,4,0.7767000000000001
ENG-F,901,698,2,0.7746999999999999
ENG-G,976,817,0,0.8371
ENG-H,785,629,5,0.8012999999999999
ENG-I,746,586,4,0.7855
ENG-J,942,715,3,0.759
FARM,695,557,2,0.8014
GERTWP-A,1151,977,2,0.8488
GERTWP-B,1156,951,3,0.8227
GTN-A,1061,800,8,0.754
GTN-B,1023,747,0,0.7302
GTN-C,985,769,1,0.7807
GTN-D,1075,832,4,0.774
HARTWP-A,756,433,5,0.5728
HARTWP-B,903,540,3,0.598
HARTWP-C,1314,565,3,0.43
HARTWP-D,1119,798,3,0.7131000000000001
HARTWP-E,583,343,6,0.5882999999999999
HARTWP-F,571,321,1,0.5622
HARTWP-G,936,545,2,0.5822999999999999
HARTWP-H,1148,582,1,0.507
HARTWP-I,1021,546,3,0.5347999999999999
HARTWP-J,909,535,2,0.5886
HARTWP-K,1187,531,7,0.4473
HARTWP-L,1022,762,1,0.7456
HARTWP-M,1138,854,3,0.7504000000000001
HARTWP-N,830,505,2,0.6084
HARTWP-O,1170,745,10,0.6368
HUB 1-A,1099,816,6,0.7425
HUB 1-B,1302,971,4,0.7458
HUB 1-C,1228,736,5,0.5992999999999999
HUB 1-D,1201,904,5,0.7526999999999999
HUB 2-A,1136,832,6,0.7323999999999999
HUB 2-B,1158,885,6,0.7642
HUB 3-A,852,630,6,0.7394
HUB 3-B,1075,580,9,0.5395
HUB 3-C,840,590,5,0.7023999999999999
HUB 3-D,1225,846,5,0.6906
HUB 3-E,942,650,12,0.69
HUB 4-A,1166,804,11,0.6895
HUB 4-B,1084,755,12,0.6965
HUB 4-C,1295,837,10,0.6463
HUB 4-D,1183,796,6,0.6729
HUB 5-A,1154,744,4,0.6446999999999999
HUB 5-B,1122,746,6,0.6648999999999999
HUB 5-C,1089,749,2,0.6878
HUB 5-D,1125,771,7,0.6853
HUB 6-A,891,638,2,0.716
HUB 6-B,1156,865,5,0.7483
HUB 6-C,1089,808,16,0.742
HUB 6-D,1066,761,3,0.7139
JAKTWP-A,1174,959,4,0.8169
JAKTWP-B,802,672,3,0.8379000000000001
JEFTWP-A,1247,939,2,0.753
JEFTWP-B,1051,550,6,0.5233
JEFTWP-C,895,694,0,0.7754000000000001
JEFTWP-D,1083,683,2,0.6307
JNLB-A,672,479,3,0.7128
JNLB-B,1029,747,5,0.7259
KT 1-A,954,657,0,0.6887000000000001
KT 1-B,880,652,5,0.7409
KT 1-C,1210,874,3,0.7223
KT 1-D,1259,843,10,0.6696
KT 1-E,961,682,4,0.7097
KT 1-F,904,667,2,0.7378
KT 1-G,969,709,2,0.7317
KT 1-H,1173,912,3,0.7775
KT 1-I,1107,783,4,0.7073
KT 2-A,1081,766,5,0.7086
KT 2-B,904,739,2,0.8175
KT 2-C,1006,793,4,0.7883
KT 2-D,1165,873,2,0.7494
KT 2-E,1062,809,2,0.7618
KT 2-F,862,664,1,0.7703
KT 2-G,1232,1030,2,0.836
KT 2-H,1151,873,6,0.7585
KT 2-I,844,660,8,0.782
KT 2-J,787,554,2,0.7039
KT 3-A,1041,828,7,0.7954000000000001
KT 3-B,1103,813,1,0.7371
KT 3-C,916,792,2,0.8645999999999999
KT 3-D,1145,702,6,0.6131
KT 3-E,1090,846,2,0.7761
