precinct_code,VOTE FOR 1
CTN 1-A,
CTN 1-B,
CTN 1-C,
CTN 1-D,
CTN 2-A,
CTN 2-B,
CTN 2-C,
CTN 3-A,
CTN 3-B,
CTN 3-C,
CV-A,197.0
CV-B,332.0
CV-C,234.0
CV-D,252.0
CV-E,316.0
CV-F,394.0
CV-G,396.0
CV-H,354.0
CV-I,444.0
CV-J,393.0
CV-K,406.0
CV-L,441.0
CV-M,376.0
CV-N,234.0
CV-O,416.0
CV-P,391.0
CV-Q,317.0
CV-R,366.0
