precinct_code,Gerald Parker,Total Votes Cast,Overvotes,Undervotes,Contest Total,Montgomery Mary
HUB 6-B,443,457,0,408,865,457
HUB 6-C,416,435,0,373,808,435
HUB 6-D,367,395,0,366,761,395
JAKTWP-A,375,409,0,550,959,409
JAKTWP-B,275,296,0,376,672,296
JEFTWP-A,427,481,0,458,939,481
JEFTWP-B,279,314,0,236,550,314
JEFTWP-C,310,334,0,360,694,334
JEFTWP-D,376,414,0,269,683,414
JNLB-A,204,217,0,262,479,217
JNLB-B,315,346,0,401,747,346
KT 1-A,334,350,0,307,657,350
KT 1-B,291,314,0,338,652,314
KT 1-C,405,421,0,453,874,421
KT 1-D,443,459,0,384,843,459
KT 1-E,336,351,0,331,682,351
KT 1-F,324,350,0,317,667,350
KT 1-G,310,331,0,378,709,331
KT 1-H,449,463,0,449,912,463
KT 1-I,391,413,0,370,783,413
KT 2-A,355,385,0,381,766,385
KT 2-B,382,397,0,342,739,397
KT 2-C,392,415,0,378,793,415
KT 2-D,452,476,0,397,873,476
KT 2-E,424,438,0,371,809,438
KT 2-F,355,367,0,297,664,367
KT 2-G,481,500,0,530,1030,500
KT 2-H,409,428,0,445,873,428
KT 2-I,327,346,0,314,660,346
KT 2-J,293,313,0,241,554,313
KT 3-A,412,439,0,389,828,439
KT 3-B,432,452,0,361,813,452
KT 3-C,388,420,0,372,792,420
KT 3-D,355,385,0,317,702,385
KT 3-E,407,430,0,416,846,430
KT 3-F,331,351,0,333,684,351
KT 3-G,386,392,0,287,679,392
KT 3-H,423,442,0,365,807,442
KT 3-I,334,358,0,330,688,358
KT 3-J,362,375,0,296,671,375
KT 3-K,458,487,0,459,946,487
KT 4-A,478,503,0,419,922,503
KT 4-B,479,505,0,434,939,505
KT 4-C,265,282,0,281,563,282
KT 4-D,422,439,0,375,814,439
KT 4-E,323,339,0,392,731,339
KT 4-F,386,425,0,345,770,425
KT 4-G,500,530,0,466,996,530
KT 4-H,343,358,0,321,679,358
KT 4-I,432,459,0,389,848,459
KT 4-J,393,412,0,354,766,412
KT 4-K,406,421,0,370,791,421
MBG 1-A,394,407,0,493,900,407
MBG 1-B,402,424,0,435,859,424
MBG 1-C,407,418,0,358,776,418
MBG 2-A,275,294,0,316,610,294
MBG 2-B,380,405,0,402,807,405
MBG 2-C,402,414,0,447,861,414
MBG 3-A,305,323,0,273,596,323
MBG 3-B,360,372,0,423,795,372
MBG 3-C,341,361,0,334,695,361
MBG 3-D,416,431,0,412,843,431
MBG 4-A,356,371,0,369,740,371
MBG 4-B,323,340,0,322,662,340
MBG 4-C,310,313,0,284,597,313
MBG 4-D,533,565,0,535,1100,565
MIATWP-A,385,402,0,414,816,402
MIATWP-B,334,350,0,368,718,350
MIATWP-C,363,400,0,441,841,400
MIATWP-D,311,323,0,386,709,323
MIATWP-E,459,496,0,475,971,496
MIATWP-F,404,420,0,335,755,420
MIATWP-G,317,344,0,336,680,344
MIATWP-H,344,374,0,329,703,374
MIATWP-I,209,226,0,203,429,226
MIATWP-J,274,294,0,403,697,294
MIATWP-K,440,476,0,463,939,476
MIATWP-L,278,293,0,323,616,293
MIATWP-M,364,388,0,313,701,388
MIATWP-N,391,428,0,373,801,428
MIATWP-O,372,392,0,358,750,392
MIATWP-P,273,285,0,239,524,285
MIATWP-Q,426,446,0,350,796,446
MIATWP-R,213,230,0,198,428,230
MIATWP-S,345,363,0,388,751,363
MIATWP-T,305,300,0,325,625,300
MIATWP-U,297,328,0,275,603,328
MIATWP-V,339,352,0,385,737,352
MOR 1-A,202,217,0,247,464,217
MOR 2-A,412,432,0,402,834,432
MOR 3-A,227,254,0,273,527,254
MOR 4-A,229,243,0,224,467,243
MOR 4-B,195,226,0,158,384,226
OAK-A,449,509,0,324,833,509
OAK-B,437,490,0,337,827,490
OAK-C,333,365,0,316,681,365
OAK-D,359,371,0,313,684,371
OAK-E,356,376,0,326,702,376
OAK-F,477,528,0,341,869,528
OAK-G,396,429,0,325,754,429
OAK-H,303,342,0,268,610,342
PERTWP-A,238,254,0,344,598,254
PERTWP-B,285,302,0,351,653,302
PERTWP-C,304,335,0,433,768,335
PHBG,123,132,0,105,237,132
PM,275,281,0,246,527,281
PNLB,246,271,0,260,531,271
RV-A,334,344,0,326,670,344
RV-B,235,259,0,301,560,259
RV-C,349,350,0,358,708,350
RV-D,313,330,0,398,728,330
RV-E,279,297,0,323,620,297
RV-F,290,318,0,283,601,318
RV-G,249,272,0,267,539,272
RV-H,176,190,0,172,362,190
RV-I,241,265,0,261,526,265
RV-J,259,281,0,231,512,281
RV-K,343,361,0,330,691,361
RV-L,192,207,0,214,421,207
RV-M,375,403,0,313,716,403
RV-N,243,263,0,259,522,263
RV-O,343,367,0,350,717,367
RV-P,398,422,0,335,757,422
TR 1-A,406,425,0,309,734,425
TR 1-B,214,235,0,171,406,235
TR 1-C,307,315,0,220,535,315
TR 1-D,259,285,0,155,440,285
TR 1-E,417,451,0,280,731,451
TR 2-A,348,375,0,237,612,375
TR 2-B,384,411,0,298,709,411
TR 2-C,276,325,0,194,519,325
TR 2-D,227,248,0,183,431,248
TR 2-E,295,318,0,188,506,318
TR 3-A,240,265,0,207,472,265
TR 3-B,285,309,0,301,610,309
TR 3-C,242,256,0,214,470,256
TR 3-D,341,371,0,312,683,371
TR 4-A,384,417,0,253,670,417
TR 4-B,267,329,0,234,563,329
TR 4-C,249,284,0,165,449,284
TR 4-D,262,284,0,186,470,284
UN-A,240,255,0,224,479,255
UN-B,344,373,0,344,717,373
UN-C,382,396,0,402,798,396
UN-D,459,478,0,366,844,478
UN-E,372,401,0,426,827,401
VD-A,338,358,0,358,716,358
VD-B,236,253,0,192,445,253
VD-C,417,438,0,400,838,438
VD-D,378,397,0,344,741,397
VD-E,264,283,0,267,550,283
VD-F,432,457,0,393,850,457
VD-G,293,314,0,349,663,314
VD-H,456,472,0,433,905,472
VD-I,346,374,0,380,754,374
VD-J,444,466,0,486,952,466
VD-K,462,482,0,396,878,482
WASTWP-A,367,386,0,392,778,386
WASTWP-B,566,565,0,521,1086,565
WASTWP-C,417,440,0,455,895,440
WASTWP-D,331,335,0,322,657,335
WASTWP-E,466,476,0,444,920,476
WASTWP-F,310,322,0,279,601,322
WASTWP-G,485,503,0,497,1000,503
WASTWP-H,411,404,0,405,809,404
WASTWP-I,333,360,0,313,673,360
WASTWP-J,436,456,0,412,868,456
WASTWP-K,391,396,0,423,819,396
WASTWP-L,340,347,0,381,728,347
WASTWP-M,437,456,0,481,937,456
WASTWP-N,435,457,0,387,844,457
WASTWP-O,438,442,0,439,881,442
WASTWP-P,527,517,0,473,990,517
WASTWP-Q,473,497,0,473,970,497
WASTWP-R,387,394,0,317,711,394
WASTWP-S,325,350,0,392,742,350
WASTWP-T,368,388,0,352,740,388
WASTWP-U,437,442,0,437,879,442
WASTWP-V,394,413,0,427,840,413
WASTWP-W,297,303,0,292,595,303
WASTWP-X,363,379,0,330,709,379
WASTWP-Y,590,587,0,521,1108,587
