precinct_code,VOTE FOR 1
BTLTWP-A,428
BTLTWP-B,398
BTLTWP-C,445
BTLTWP-D,377
BTLTWP-E,233
BTLTWP-F,292
BTLTWP-G,209
GERTWP-A,
GERTWP-B,
GTN-A,
GTN-B,
GTN-C,
GTN-D,
UN-C,4
