precinct_code,Tim O'Connell,Total Votes Cast,Overvotes,Undervotes,Contest Total,Kim Melnick
WASTWP-O,438,397,0,484,881,397
WASTWP-P,514,510,0,480,990,510
WASTWP-Q,504,493,0,477,970,493
WASTWP-R,390,386,0,325,711,386
WASTWP-S,345,343,0,399,742,343
WASTWP-T,394,347,0,393,740,347
WASTWP-U,437,462,0,417,879,462
WASTWP-V,406,375,0,465,840,375
WASTWP-W,307,274,0,321,595,274
WASTWP-X,383,374,0,335,709,374
WASTWP-Y,602,559,0,549,1108,559
WASTWP-Z,401,402,0,358,760,402
WASTWP-AA,405,388,0,440,828,388
WASTWP-BB,324,297,0,327,624,297
WASTWP-CC,483,449,0,579,1028,449
WCR-A,345,331,0,372,703,331
WCR-B,375,342,0,394,736,342
WCR-C,377,382,0,372,754,382
WCR-D,351,356,0,380,736,356
WCR-E,268,222,0,258,480,222
WCR-F,301,267,0,304,571,267
WCR-G,392,359,0,396,755,359
WCR-H,345,366,0,351,717,366
WCR-I,285,252,0,267,519,252
