precinct_code,DEM Lieberman Deborah,McDonald REP Mary,Total Votes Cast,Overvotes,Undervotes,Contest Total,DEM Mat Heck Jr.
WASTWP-Y,471,557,686,0,422,1108,686
WASTWP-Z,304,414,442,0,318,760,442
WASTWP-AA,346,421,482,0,346,828,482
WASTWP-BB,270,303,379,0,245,624,379
WASTWP-CC,424,540,606,0,422,1028,606
WCR-A,247,400,423,0,280,703,423
WCR-B,247,436,423,0,313,736,423
WCR-C,234,474,426,0,328,754,426
WCR-D,263,426,406,0,330,736,406
WCR-E,286,175,340,0,140,480,340
WCR-F,242,284,359,0,212,571,359
WCR-G,330,377,484,0,271,755,484
WCR-H,217,446,390,0,327,717,390
WCR-I,310,179,376,0,143,519,376
