Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
MOR 1-A,103,101,204,0,39,243
MOR 2-A,246,205,451,0,66,517
MOR 3-A,123,135,258,0,41,299
MOR 4-A,117,114,231,0,32,263
MOR 4-B,95,70,165,0,34,199
