Precinct,FOR THE LEVY TAX,AGAINST TAX LEVY THE,Total Votes Cast,Overvotes,Undervotes,Contest Total
JNLB-A,163,137,300,0,21,321
JNLB-B,255,189,444,0,24,468
PNLB,163,136,299,0,15,314
