Precinct,FOR THE LEVY TAX,AGAINST TAX LEVY THE,Total Votes Cast,Overvotes,Undervotes,Contest Total
GERTWP-A,315,309,624,0,23,647
GERTWP-B,297,331,628,0,33,661
GTN-A,297,261,558,0,34,592
GTN-B,205,215,420,0,24,444
GTN-C,321,236,557,0,23,580
GTN-D,226,265,491,0,20,511
