Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A,311,189,500,0,139,639
MBG 1-B,245,209,454,0,85,539
MBG 1-C,294,150,444,0,102,546
MBG 2-A,170,119,289,0,103,392
MBG 2-B,193,188,381,0,86,467
MBG 2-C,264,192,456,0,110,566
MBG 3-A,169,130,299,0,77,376
MBG 3-B,276,160,436,0,138,574
MBG 3-C,206,94,300,0,102,402
MBG 3-D,265,203,468,0,103,571
MBG 4-A,236,191,427,0,81,508
MBG 4-B,241,133,374,0,102,476
MBG 4-C,205,120,325,0,87,412
MBG 4-D,353,220,573,0,178,751
