Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
MOR 1-A,114,75,189,0,54,243
MOR 2-A,281,141,422,0,95,517
MOR 3-A,144,88,232,0,67,299
MOR 4-A,138,76,214,0,49,263
MOR 4-B,111,41,152,0,47,199
