Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,262,330,592,0,6,598
BRK-B,230,228,458,0,6,464
BRK-C,325,285,610,0,9,619
BRK-D,248,274,522,0,6,528
BTLTWP-A,281,282,563,0,11,574
BTLTWP-B,269,274,543,0,4,547
BTLTWP-C,324,336,660,0,10,670
BTLTWP-D,317,299,616,0,10,626
BTLTWP-E,198,253,451,0,13,464
BTLTWP-F,224,298,522,0,7,529
BTLTWP-G,185,132,317,0,5,322
CLATWP-A,194,235,429,0,5,434
CLATWP-B,195,244,439,0,4,443
CLATWP-C,295,343,638,0,8,646
CTN 1-A,201,287,488,0,9,497
CTN 1-B,259,249,508,0,6,514
CTN 1-C,353,291,644,0,8,652
CTN 1-D,251,168,419,0,2,421
CTN 2-A,279,177,456,0,6,462
CTN 2-B,346,253,599,0,9,608
CTN 2-C,405,251,656,0,7,663
CTN 3-A,380,271,651,0,7,658
CTN 3-B,371,209,580,0,3,583
CTN 3-C,332,157,489,0,3,492
CV-A,264,91,355,0,9,364
CV-B,375,267,642,0,7,649
CV-C,242,169,411,0,4,415
CV-D,245,137,382,0,3,385
CV-E,283,305,588,0,10,598
CV-F,334,359,693,0,9,702
CV-G,374,346,720,0,7,727
CV-H,336,416,752,0,21,773
CV-I,328,460,788,0,13,801
CV-J,326,354,680,0,6,686
CV-K,351,355,706,0,9,715
CV-L,387,367,754,0,12,766
CV-M,307,330,637,0,9,646
CV-N,204,330,534,0,16,550
CV-O,364,432,796,0,13,809
CV-P,319,346,665,0,14,679
CV-Q,339,243,582,0,7,589
CV-R,383,196,579,0,6,585
DAY 1-A,82,58,140,0,2,142
DAY 1-B,409,87,496,0,2,498
DAY 1-C,248,68,316,0,4,320
DAY 1-D,203,29,232,0,1,233
DAY 1-E,430,66,496,0,2,498
DAY 2-A,172,66,238,0,2,240
DAY 2-B,281,77,358,0,5,363
DAY 2-C,219,85,304,0,2,306
DAY 2-D,140,35,175,0,5,180
DAY 3-A,100,41,141,0,3,144
DAY 3-B,120,87,207,0,3,210
DAY 3-C,311,265,576,0,7,583
DAY 3-D,196,92,288,0,2,290
DAY 3-E,116,46,162,0,1,163
DAY 3-F,334,160,494,0,7,501
DAY 3-G,164,78,242,0,5,247
DAY 3-H,168,89,257,0,1,258
DAY 3-I,315,221,536,0,7,543
DAY 3-J,254,149,403,0,6,409
DAY 3-K,355,235,590,0,4,594
DAY 3-L,319,236,555,0,2,557
DAY 4-A,221,93,314,0,4,318
DAY 4-B,170,62,232,0,4,236
DAY 4-C,214,67,281,0,0,281
DAY 5-A,175,35,210,0,4,214
DAY 5-B,183,59,242,0,2,244
DAY 5-C,134,35,169,0,5,174
DAY 5-D,188,42,230,0,1,231
DAY 6-A,200,62,262,0,4,266
DAY 6-B,195,38,233,0,7,240
DAY 6-C,161,38,199,0,5,204
DAY 7-A,157,45,202,0,3,205
DAY 7-B,164,40,204,0,4,208
DAY 8-A,313,118,431,0,4,435
DAY 8-B,333,108,441,0,1,442
DAY 8-C,348,98,446,0,3,449
DAY 8-D,326,78,404,0,6,410
DAY 9-A,415,209,624,0,3,627
DAY 9-B,406,120,526,0,4,530
DAY 9-C,453,156,609,0,9,618
DAY 9-D,268,127,395,0,3,398
DAY 10-A,315,94,409,0,2,411
DAY 10-B,228,106,334,0,4,338
